Target Stn,Mini-Array Stn 1,Mini-Array Stn 2,Mini-Array Stn 3,Mini-Array Stn 4,Mini-Array Stn 5,Mini-Array Stn 6,Mini-Array Stn 7,Mini-Array Stn 8,Mini-Array Stn 9,Mini-Array Stn 10,Mini-Array Stn 11,Mini-Array Stn 12,Mini-Array Stn 13
P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,NaN,NaN
P02,P01,P03,P04,P05,P06,P07,P08,P10,P11,P14,NaN,NaN,NaN
P03,P01,P02,P04,P05,P06,P07,P08,P09,P10,NaN,NaN,NaN,NaN
P04,P01,P02,P03,P05,P06,P07,P08,P09,P10,P11,NaN,NaN,NaN
P05,P01,P02,P03,P04,P06,P07,P11,P12,P13,NaN,NaN,NaN,NaN
P06,P01,P02,P03,P04,P05,P07,P12,P13,P14,P15,P21,NaN,NaN
P07,P01,P02,P03,P04,P05,P06,P08,P13,P14,P15,P24,NaN,NaN
P08,P01,P02,P03,P04,P07,P09,P15,P16,P17,NaN,NaN,NaN,NaN
P09,P01,P03,P04,P08,P10,P17,P18,NaN,NaN,NaN,NaN,NaN,NaN
P10,P01,P02,P03,P04,P09,P11,P18,P19,P25,NaN,NaN,NaN,NaN
P11,P01,P02,P04,P05,P10,P12,P25,NaN,NaN,NaN,NaN,NaN,NaN
P12,P01,P05,P06,P11,P13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P13,P05,P06,P07,P12,P14,P21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P14,P02,P06,P07,P13,P15,P21,P24,NaN,NaN,NaN,NaN,NaN,NaN
P15,P06,P07,P08,P14,P16,P22,P24,NaN,NaN,NaN,NaN,NaN,NaN
P16,P08,P15,P17,P22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P17,P08,P09,P16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P18,P09,P10,P19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P19,P10,P18,P25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P20,P21,P24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P21,P06,P13,P14,P20,P24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P22,P15,P16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P24,P07,P14,P15,P20,P21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25,P10,P11,P19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
